plant_id,species,pot_size,light_condition,location_type,watering_per_week,days_since_repot,fertilizer_ml,humidity_pct,temperature_c,prev_height_cm,height_cm,is_blooming
1084,산세베리아,Small,Medium,베란다,4,534.0,32.9,67.3,21.4,27.1,31.1,N
1085,필로덴드론,Small,High,베란다,0,13.0,35.0,44.0,16.5,27.9,33.1,N
1086,스킨답서스,Medium,Medium,베란다,3,199.0,23.5,47.7,26.4,62.5,71.3,N
1087,고무나무,Medium,High,실내,1,123.0,28.9,41.2,21.6,59.3,66.5,N
1088,몬스테라,Small,Medium,베란다,3,104.0,32.8,65.4,14.9,53.4,58.8,N
1089,필로덴드론,Medium,Medium,실내,1,155.0,11.5,71.3,21.1,52.1,58.3,N
1090,스투키,Small,Medium,베란다,1,220.0,13.2,53.2,14.3,54.3,59.8,N
1091,필로덴드론,Medium,High,실내,6,238.0,35.5,60.4,25.7,45.1,54.9,Y
1092,고무나무,Medium,High,실내,5,23.0,12.9,59.4,19.3,16.4,24.5,Y
1093,고무나무,Small,Low,실내,1,26.0,22.3,58.6,22.1,64.4,67.3,N
1094,스킨답서스,Medium,Medium,실내,2,2.0,35.1,41.1,19.8,44.8,48.6,N
1095,스투키,Small,Medium,베란다,1,17.0,48.8,47.1,21.4,30.8,34.1,N
1096,몬스테라,Medium,Medium,베란다,5,37.0,15.2,64.1,24.4,99.4,107.6,Y
1097,스투키,Small,High,실내,4,153.0,12.6,69.6,20.8,42.6,52.1,N
1098,몬스테라,Large,High,실내,3,77.0,35.2,66.4,23.7,,82.7,N
1099,산세베리아,Small,High,실내,3,170.0,50.5,55.2,13.6,41.6,51.3,N
1100,스투키,Large,High,베란다,2,80.0,5.6,64.6,18.2,40.7,46.4,Y
1101,몬스테라,Medium,Medium,실내,4,97.0,25.2,36.6,22.2,20.4,24.7,N
1102,필로덴드론,Medium,High,실내,4,14.0,65.9,30.8,19.8,23.5,35.2,N
1103,산세베리아,Small,High,실내,2,180.0,11.8,38.5,25.5,34.5,41.0,N
1104,필로덴드론,Large,Medium,실내,2,170.0,36.2,88.9,24.5,36.1,42.6,N
1105,필로덴드론,Small,High,베란다,0,44.0,23.0,79.9,26.1,49.2,52.7,N
1106,몬스테라,Small,Low,실내,1,48.0,23.5,35.8,22.3,45.0,48.0,N
1107,스투키,Medium,High,실내,2,30.0,21.1,52.3,19.8,61.9,68.3,Y
1108,산세베리아,Small,Medium,베란다,2,202.0,30.2,49.8,23.8,26.8,32.0,N
1109,고무나무,Small,Medium,실내,4,165.0,52.0,70.5,18.8,33.8,43.3,N
1110,몬스테라,Large,Medium,실내,2,113.0,12.2,62.9,21.1,75.2,77.5,N
1111,산세베리아,Large,Medium,실내,2,33.0,13.2,50.5,23.2,56.0,58.5,Y
1112,스투키,Medium,Low,실내,4,23.0,29.4,61.7,19.9,45.8,47.6,N
1113,,Large,Low,실내,1,6.0,30.6,64.3,29.2,40.9,45.4,N
1114,스킨답서스,Medium,Medium,베란다,4,6.0,20.9,32.7,24.2,72.1,78.3,N
1115,스킨답서스,Small,Medium,베란다,2,25.0,46.9,61.4,19.2,30.8,35.5,N
1116,스킨답서스,Medium,High,베란다,3,13.0,14.3,54.8,24.9,82.9,92.0,Y
1117,몬스테라,Medium,High,베란다,3,97.0,13.5,41.3,26.9,45.5,51.6,N
1118,산세베리아,Large,Medium,실내,1,53.0,27.1,47.9,17.5,35.5,35.3,N
1119,스투키,Small,High,실내,0,71.0,11.9,58.4,25.8,31.2,33.2,N
1120,몬스테라,Medium,Medium,실내,4,108.0,104.4,56.5,18.2,5.0,15.6,N
1121,산세베리아,Small,High,베란다,3,129.0,7.3,52.7,22.0,30.5,37.4,N
1122,필로덴드론,Small,Low,실내,4,125.0,61.3,51.4,22.5,69.5,73.1,N
1123,산세베리아,Small,Medium,실내,3,36.0,13.8,55.7,20.0,22.0,26.2,N
1124,산세베리아,Large,Medium,실내,0,199.0,7.1,35.7,20.0,28.8,30.1,N
1125,고무나무,Large,Low,실내,5,300.0,29.0,75.6,19.4,,71.9,N
1126,스킨답서스,Medium,High,실내,0,46.0,20.7,50.6,20.4,48.9,55.5,N
1127,몬스테라,Medium,High,베란다,5,2.0,84.8,61.1,19.0,36.3,48.1,N
1128,스킨답서스,Small,Medium,실내,2,275.0,32.1,74.4,25.3,5.0,13.0,N
1129,스투키,Small,Medium,베란다,1,309.0,20.1,68.6,17.6,54.1,58.2,N
1130,스투키,Small,High,실내,4,6.0,23.2,58.6,27.4,28.5,36.4,N
1131,고무나무,Medium,High,베란다,1,1.0,2.9,53.7,21.6,74.7,77.9,N
1132,스킨답서스,Medium,Medium,베란다,1,203.0,2.2,54.7,15.7,78.2,79.1,N
1133,몬스테라,Medium,Medium,베란다,2,43.0,5.4,35.5,24.3,84.5,86.6,N
1134,스투키,Small,Medium,실내,5,295.0,21.1,40.4,20.8,26.2,31.2,N
1135,고무나무,Small,Medium,실내,3,29.0,24.6,57.9,18.4,95.3,98.7,Y
1136,몬스테라,Small,Low,실내,4,237.0,32.9,50.5,21.0,87.7,92.5,N
1137,산세베리아,Medium,Medium,실내,1,9.0,39.7,37.0,19.7,9.3,18.2,N
1138,스킨답서스,Large,High,실내,1,36.0,3.0,58.5,25.9,21.0,23.2,N
1139,스킨답서스,Medium,Medium,베란다,6,434.0,30.0,64.1,19.7,44.2,51.8,N
1140,스킨답서스,Large,High,실내,1,32.0,54.9,69.0,18.0,50.2,59.3,N
1141,산세베리아,Medium,High,실내,2,17.0,17.7,61.4,19.9,35.0,38.7,N
1142,스투키,Medium,High,실내,3,233.0,100.2,47.4,19.0,36.1,45.4,N
1143,고무나무,Small,Low,베란다,0,15.0,23.4,63.2,25.2,59.0,56.9,N
1144,스킨답서스,Large,High,베란다,3,12.0,14.6,58.4,22.6,41.4,48.1,N
1145,스투키,Medium,Low,실내,6,47.0,43.7,43.9,17.6,76.3,80.3,N
1146,산세베리아,Small,Medium,실내,3,121.0,32.9,43.5,18.8,43.8,47.1,N
1147,산세베리아,Medium,Medium,베란다,1,149.0,56.7,65.2,20.7,52.2,56.4,N
1148,고무나무,Medium,Medium,실내,1,256.0,39.4,58.8,16.5,40.9,47.3,N
1149,산세베리아,Medium,High,실내,4,93.0,24.8,58.1,18.7,,37.4,N
1150,산세베리아,Large,High,베란다,2,60.0,40.6,55.8,23.0,40.8,49.7,N
1151,고무나무,Medium,Low,베란다,1,53.0,4.9,62.2,27.4,85.3,87.9,N
1152,산세베리아,Medium,Medium,실내,0,225.0,34.8,48.9,16.5,30.8,34.7,N
1153,고무나무,Small,Medium,실내,1,154.0,22.6,53.5,30.2,61.9,65.7,N
1154,고무나무,Small,Medium,실내,1,283.0,7.8,63.9,23.1,118.9,123.3,N
1155,고무나무,Small,High,실내,2,399.0,38.7,55.4,18.6,17.5,25.1,N
1156,산세베리아,Small,Medium,실내,4,43.0,51.4,46.0,26.6,13.5,21.5,N
1157,몬스테라,Medium,High,실내,1,91.0,18.9,46.7,23.3,45.6,46.4,Y
1158,산세베리아,Medium,Low,실내,3,120.0,11.8,55.5,24.5,10.5,83.5,N
1159,산세베리아,Small,Medium,실내,3,21.0,46.5,24.0,24.5,33.7,37.2,N
1160,몬스테라,Large,Medium,실내,3,7.0,11.5,76.0,25.2,43.1,45.8,N
1161,산세베리아,Small,Medium,실내,3,243.0,24.9,52.9,18.2,10.7,18.2,N
1162,몬스테라,Small,Medium,실내,1,92.0,24.0,60.8,24.4,5.0,8.5,N
1163,스투키,Small,High,실내,1,101.0,11.0,62.6,22.2,43.5,51.0,Y
1164,고무나무,Medium,High,실내,2,97.0,7.2,58.0,23.7,42.6,49.0,Y
1165,몬스테라,Small,Medium,실내,3,169.0,42.8,38.6,20.0,47.6,52.6,N
1166,산세베리아,Medium,Medium,베란다,2,19.0,31.2,42.2,20.1,31.9,36.1,N
1167,산세베리아,Medium,Low,실내,2,114.0,17.0,37.1,20.3,,33.7,N
1168,스킨답서스,Large,Low,베란다,2,76.0,17.5,68.1,24.2,37.7,41.3,N
1169,몬스테라,Small,Medium,실내,1,273.0,33.0,36.5,21.7,35.7,41.9,N
1170,스투키,Small,Low,실내,2,88.0,15.6,47.0,20.4,44.2,42.3,N
1171,고무나무,Small,High,실내,3,344.0,20.7,70.7,21.0,38.6,42.4,N
1172,필로덴드론,Medium,High,실내,3,52.0,14.5,41.4,25.8,77.4,82.7,Y
1173,고무나무,Small,High,베란다,3,409.0,19.1,56.8,23.5,115.3,123.4,Y
1174,스투키,Large,Medium,베란다,6,250.0,20.4,64.1,23.4,49.8,59.0,N
1175,고무나무,Medium,High,베란다,1,105.0,34.0,54.3,22.8,73.6,73.6,Y
1176,스킨답서스,Medium,Medium,실내,2,52.0,13.9,56.9,25.2,27.2,29.6,N
1177,산세베리아,Medium,Medium,실내,4,57.0,48.4,61.4,18.8,13.9,22.5,N
1178,몬스테라,Small,High,실내,3,178.0,33.3,76.4,24.7,5.0,10.7,N
1179,산세베리아,Small,Medium,실내,3,104.0,22.7,43.8,22.2,5.0,10.9,N
1180,스킨답서스,Small,Low,실내,1,62.0,19.4,49.7,19.2,29.7,32.7,N
1181,필로덴드론,Medium,High,베란다,2,121.0,17.2,62.6,21.9,5.0,9.7,Y
1182,스투키,Small,High,베란다,4,159.0,42.6,52.6,21.2,48.5,58.0,N
1183,고무나무,Small,High,실내,0,3.0,15.6,48.3,23.0,5.0,8.2,N
1184,필로덴드론,Large,Medium,실내,2,11.0,3.2,67.4,24.7,50.3,55.0,N
1185,몬스테라,Small,Medium,실내,2,12.0,15.2,28.3,18.6,26.2,30.0,N
1186,필로덴드론,Large,High,실내,1,32.0,57.9,68.5,27.2,,27.3,N
1187,고무나무,Medium,Low,실내,1,67.0,9.2,74.1,17.0,6.2,9.2,N
1188,몬스테라,Small,Medium,베란다,5,195.0,68.0,52.5,19.8,17.2,26.4,N
1189,스투키,Small,Medium,실내,5,52.0,16.4,39.2,27.9,41.7,49.5,N
1190,고무나무,Small,Medium,실내,3,2.0,15.7,57.1,17.5,85.8,89.2,N
1191,몬스테라,Medium,Medium,실내,1,79.0,76.4,60.8,20.2,51.4,57.4,N
1192,스킨답서스,Medium,Low,실내,3,683.0,27.3,35.3,19.7,63.8,66.2,N
1193,스투키,Medium,Low,베란다,1,52.0,40.6,56.0,14.7,30.5,35.1,N
1194,고무나무,Large,Medium,실내,3,390.0,10.9,78.4,21.7,28.3,34.5,N
1195,몬스테라,Medium,Low,베란다,3,13.0,18.0,70.2,23.3,88.8,94.9,N
1196,산세베리아,Small,Medium,실내,0,23.0,2.3,61.3,23.3,26.2,28.0,N
1197,필로덴드론,Small,High,베란다,1,155.0,14.6,59.9,20.2,55.8,57.8,N
1198,필로덴드론,Large,Medium,실내,5,83.0,18.4,55.5,16.1,10.3,15.1,N
1199,고무나무,Small,Medium,실내,1,174.0,17.1,56.8,19.9,60.2,65.6,N
1200,몬스테라,Small,,베란다,1,239.0,20.5,53.9,19.3,46.2,53.7,N
1201,산세베리아,Medium,Low,베란다,2,35.0,17.9,57.5,22.7,52.6,52.6,N
1202,몬스테라,Medium,Medium,베란다,2,138.0,2.9,35.4,20.3,56.5,59.2,N
1203,몬스테라,Large,Medium,실내,3,112.0,14.0,29.0,23.2,111.6,114.4,Y
1204,스투키,Medium,High,베란다,1,237.0,25.3,46.0,16.2,38.4,47.6,N
1205,스킨답서스,Small,High,베란다,0,67.0,29.6,67.4,23.8,19.7,24.9,N
1206,,Large,High,실내,1,6.0,55.4,62.1,23.5,38.0,43.4,N
1207,고무나무,Small,High,베란다,1,102.0,2.3,65.2,18.6,53.8,55.6,N
1208,스킨답서스,Small,Low,실내,1,383.0,14.7,56.1,19.7,,46.0,N
1209,스투키,Medium,Low,실내,2,2.0,42.0,69.6,20.9,41.9,46.5,N
1210,필로덴드론,Small,Medium,실내,1,33.0,24.1,71.0,25.1,22.7,26.7,N
1211,스킨답서스,Medium,Low,베란다,3,46.0,15.2,69.3,21.0,54.2,56.4,N
1212,스킨답서스,Small,High,실내,0,174.0,45.3,46.8,22.9,18.9,23.6,N
1213,몬스테라,Medium,Medium,실내,7,47.0,23.5,55.7,21.9,5.0,10.9,N
1214,산세베리아,Medium,Low,실내,2,33.0,38.0,49.4,24.6,26.0,27.8,N
1215,고무나무,Medium,High,실내,2,125.0,21.4,72.7,22.4,119.3,124.4,Y
1216,스투키,Large,Low,실내,2,6.0,2.5,68.5,18.2,23.8,25.7,N
1217,몬스테라,Small,Medium,실내,1,22.0,56.4,60.5,21.1,54.8,60.2,N
1218,고무나무,Medium,Medium,베란다,2,63.0,19.4,63.3,24.9,52.9,59.3,N
1219,고무나무,Medium,Medium,베란다,0,53.0,5.3,58.5,22.9,47.3,48.0,N
1220,스투키,Small,Medium,베란다,3,51.0,14.3,43.8,18.2,41.8,49.6,N
1221,필로덴드론,Medium,Low,베란다,2,14.0,9.9,67.9,27.3,,34.0,N
1222,몬스테라,Medium,Medium,실내,5,54.0,1.4,79.2,20.1,78.6,85.3,N
1223,스킨답서스,Small,High,실내,3,192.0,17.5,61.1,24.7,49.3,58.2,N
1224,필로덴드론,Medium,High,실내,1,64.0,2.6,53.6,26.2,47.1,51.9,N
1225,스킨답서스,Small,Medium,실내,2,106.0,17.4,46.3,25.1,61.0,66.9,N
1226,고무나무,Medium,Medium,베란다,1,21.0,27.1,51.9,19.3,76.9,79.8,N
1227,스투키,Small,High,실내,2,9.0,26.6,39.7,25.2,47.9,53.9,N
1228,스투키,Large,High,베란다,3,254.0,12.7,44.0,22.7,37.0,45.0,Y
1229,필로덴드론,Medium,Medium,실내,3,48.0,7.1,53.0,18.0,28.3,34.5,Y
1230,스킨답서스,Medium,Medium,베란다,4,52.0,40.6,58.8,21.7,47.1,54.6,N
1231,산세베리아,Medium,High,실내,1,252.0,30.6,37.3,19.0,25.2,32.2,N
1232,스투키,Large,Medium,실내,2,148.0,14.9,57.3,23.2,63.6,66.3,N
1233,몬스테라,Medium,Low,베란다,3,169.0,4.4,74.0,24.4,57.8,61.9,N
1234,몬스테라,Small,Medium,실내,2,137.0,8.8,60.2,25.4,9.3,15.2,Y
1235,고무나무,Medium,Low,베란다,3,13.0,69.2,60.9,21.8,93.4,98.1,Y
1236,스투키,Large,Medium,실내,3,380.0,38.3,59.9,19.2,49.1,55.7,N
1237,산세베리아,Medium,Medium,실내,3,288.0,27.3,35.8,18.4,39.0,40.7,N
1238,스킨답서스,Medium,High,베란다,1,32.0,9.9,36.9,24.0,62.5,69.5,N
1239,필로덴드론,Large,Medium,실내,0,196.0,10.1,62.2,24.9,21.9,25.1,N
1240,몬스테라,Large,Medium,베란다,1,63.0,41.8,63.5,23.6,98.2,104.2,N
1241,산세베리아,Large,Low,실내,0,138.0,60.6,67.5,19.4,35.8,39.5,N
1242,산세베리아,Small,High,실내,3,22.0,42.2,71.2,20.1,42.8,52.2,N
1243,산세베리아,Medium,Low,실내,3,93.0,17.0,48.8,20.3,,59.8,N
1244,산세베리아,Medium,Medium,실내,1,16.0,11.5,66.6,17.5,48.0,54.3,N
1245,산세베리아,Medium,Low,실내,2,92.0,9.1,66.5,23.5,47.8,55.2,N
1246,고무나무,Medium,High,실내,2,34.0,15.8,73.4,21.6,63.7,71.6,Y
1247,몬스테라,Small,Medium,실내,2,72.0,10.0,74.2,26.3,71.0,77.6,N
1248,몬스테라,Medium,Medium,실내,0,132.0,23.5,50.3,19.1,56.7,59.0,N
1249,필로덴드론,Medium,Medium,실내,1,252.0,21.3,54.0,21.6,5.0,8.4,N
1250,고무나무,Small,High,실내,4,22.0,81.8,57.5,18.3,5.0,17.8,N
1251,산세베리아,Medium,Medium,실내,1,268.0,42.3,45.1,20.9,33.3,39.3,N
1252,스킨답서스,Small,High,실내,4,59.0,23.8,68.3,24.4,39.2,48.3,N
1253,몬스테라,Small,High,실내,1,223.0,81.3,52.5,22.2,15.5,22.5,N
1254,몬스테라,Small,High,실내,1,86.0,30.5,69.0,19.1,107.3,112.1,Y
1255,고무나무,Medium,Medium,실내,1,238.0,9.5,73.2,17.5,84.3,86.8,N
1256,스킨답서스,Medium,High,베란다,2,130.0,40.3,51.6,21.0,23.1,31.3,N
1257,몬스테라,Medium,Low,베란다,1,85.0,7.2,34.1,22.6,64.7,66.0,N
1258,스킨답서스,Medium,Medium,실내,2,45.0,3.1,54.7,24.5,36.9,40.2,N
1259,몬스테라,Large,High,실내,0,417.0,29.8,71.0,19.8,61.1,65.1,Y
1260,스킨답서스,Small,Medium,베란다,3,194.0,33.8,70.9,19.7,12.7,20.0,N
1261,스투키,Small,Medium,실내,2,58.0,40.4,53.8,28.4,33.6,41.6,N
1262,산세베리아,Large,Medium,베란다,4,22.0,33.6,56.5,21.9,7.6,12.9,N
1263,스투키,Small,Medium,베란다,2,181.0,28.8,53.2,24.9,38.8,45.4,N
1264,스킨답서스,Large,Medium,실내,0,552.0,13.2,47.9,18.2,87.5,88.3,N
1265,몬스테라,Large,High,실내,4,39.0,26.0,34.4,23.0,64.6,74.4,Y
1266,몬스테라,Medium,High,베란다,0,297.0,40.5,61.2,24.2,74.0,76.7,Y
1267,스투키,Large,Medium,베란다,3,16.0,28.8,49.2,22.2,63.4,72.0,Y
1268,스킨답서스,Small,Low,실내,2,365.0,35.8,57.6,16.8,39.8,42.5,N
1269,고무나무,Small,High,실내,3,164.0,35.0,63.1,19.3,19.3,27.7,N
1270,스투키,Medium,Medium,실내,3,51.0,44.4,65.8,23.1,35.8,42.6,N
1271,고무나무,Medium,Low,실내,1,44.0,4.8,46.7,17.2,13.9,18.4,N
1272,산세베리아,Large,Low,베란다,1,124.0,29.2,43.3,29.6,9.0,10.2,N
1273,산세베리아,Small,Medium,베란다,4,108.0,79.0,62.1,25.4,40.4,49.4,Y
1274,몬스테라,Medium,Low,실내,1,302.0,25.1,62.9,17.5,52.9,55.6,N
1275,스킨답서스,Medium,Low,베란다,2,174.0,25.3,48.2,22.8,5.0,9.9,N
1276,몬스테라,Medium,Medium,실내,5,93.0,18.0,66.9,22.2,47.1,52.5,N
1277,스투키,Small,Medium,실내,1,315.0,17.0,54.5,25.3,33.0,32.4,N
1278,필로덴드론,Medium,Medium,실내,1,108.0,66.0,46.1,14.5,23.0,26.8,N
1279,몬스테라,Large,High,실내,1,227.0,2.4,43.2,22.5,5.0,10.2,N
1280,스킨답서스,Small,High,실내,2,221.0,27.8,60.9,18.4,27.0,33.6,N
1281,고무나무,Large,Medium,실내,3,302.0,18.5,57.9,23.3,45.2,50.4,N
1282,고무나무,Medium,Low,베란다,0,8.0,3.7,59.6,18.7,63.8,63.4,N
1283,스킨답서스,Medium,High,베란다,5,105.0,40.3,41.7,26.1,36.0,46.6,N
1284,몬스테라,Medium,Low,실내,1,76.0,21.0,28.3,22.9,30.4,33.7,N
1285,스투키,Small,High,실내,6,81.0,27.4,62.3,16.6,32.3,42.7,N
1286,스킨답서스,Medium,Low,실내,6,74.0,15.9,69.4,14.3,14.4,21.6,N
1287,몬스테라,Large,High,베란다,2,218.0,31.0,35.6,23.5,99.5,107.9,N
1288,스투키,Medium,Medium,실내,0,46.0,34.1,50.0,19.9,46.1,49.5,N
1289,몬스테라,Large,Medium,실내,2,75.0,8.7,86.7,23.7,29.2,34.6,Y
1290,몬스테라,Medium,High,실내,5,27.0,8.6,61.8,20.0,42.6,51.1,N
1291,스투키,Small,Medium,실내,0,35.0,15.8,70.7,25.6,48.3,51.7,N
1292,몬스테라,Medium,Medium,실내,4,130.0,60.2,74.6,25.0,21.2,28.9,Y
1293,스킨답서스,Large,Medium,베란다,3,15.0,16.5,49.2,23.3,14.2,19.8,N
1294,고무나무,Small,High,베란다,3,25.0,16.1,83.1,19.3,103.8,107.6,Y
1295,산세베리아,Large,Low,실내,1,90.0,13.4,34.1,20.2,27.8,28.3,N
1296,몬스테라,Large,Low,실내,4,5.0,69.1,61.1,21.2,62.7,70.3,N
1297,몬스테라,Medium,Medium,실내,3,16.0,25.5,59.1,18.9,43.6,48.6,N
1298,몬스테라,Small,Low,베란다,6,239.0,47.2,41.8,24.0,42.7,46.1,N
1299,고무나무,Medium,Medium,실내,1,225.0,50.3,46.1,21.0,5.0,13.6,N
1300,고무나무,Small,Low,실내,2,51.0,9.5,47.6,21.5,64.6,66.5,N
1301,몬스테라,Medium,Medium,실내,1,51.0,12.0,37.7,20.4,30.0,34.5,N
1302,필로덴드론,Medium,Low,실내,1,331.0,27.2,38.0,21.9,47.2,48.7,N
1303,몬스테라,Medium,Medium,실내,3,3.0,9.1,51.1,22.5,60.4,67.1,N
1304,스킨답서스,Medium,Low,실내,4,104.0,11.7,49.2,20.4,33.1,36.6,N
1305,고무나무,Medium,Low,실내,1,109.0,17.1,47.1,21.3,104.3,103.1,N
1306,산세베리아,Medium,Low,실내,3,186.0,12.2,65.0,20.6,54.2,61.4,N
1307,고무나무,Medium,High,실내,6,364.0,7.4,46.0,20.6,56.9,65.1,N
1308,산세베리아,Medium,Low,실내,1,53.0,13.7,58.2,22.1,52.1,53.6,N
1309,스투키,Medium,High,실내,1,69.0,23.4,55.0,14.3,,57.9,N
1310,산세베리아,Large,Low,실내,2,134.0,10.1,51.2,26.2,36.0,34.9,N
1311,몬스테라,Medium,Low,실내,5,410.0,14.3,38.6,24.3,86.8,93.0,N
1312,산세베리아,Medium,Medium,베란다,2,266.0,18.4,53.0,22.5,28.7,33.6,N
1313,스킨답서스,Medium,Medium,실내,1,132.0,70.4,47.3,24.5,50.8,53.2,N
1314,산세베리아,Small,High,실내,3,233.0,11.4,66.5,17.9,23.5,29.2,N
1315,스킨답서스,Small,High,실내,1,11.0,55.1,62.7,16.8,59.0,67.0,Y
1316,고무나무,Large,High,실내,0,57.0,2.4,47.9,16.3,83.1,87.1,N
1317,스킨답서스,Medium,Medium,실내,2,2.0,39.1,44.3,23.3,62.3,66.1,N
1318,고무나무,Medium,Medium,베란다,2,23.0,34.1,44.3,22.4,80.6,84.9,N
1319,몬스테라,Medium,Medium,실내,2,119.0,39.0,52.0,23.1,7.7,11.9,N
1320,,Small,High,실내,2,260.0,35.7,67.6,24.8,42.4,48.6,N
1321,스투키,Medium,Medium,베란다,3,120.0,44.6,69.2,14.9,34.1,41.2,N
1322,몬스테라,Medium,Medium,베란다,6,131.0,16.7,23.0,18.4,45.9,55.2,N
1323,산세베리아,Medium,Low,베란다,2,13.0,55.8,73.2,20.0,53.9,58.2,N
1324,몬스테라,Medium,Low,베란다,3,131.0,11.9,53.6,24.0,30.9,34.4,N
1325,필로덴드론,Small,High,베란다,2,73.0,2.8,38.5,22.4,61.8,66.3,N
1326,스투키,Small,Medium,실내,2,126.0,3.7,54.4,29.9,67.8,69.2,N
1327,몬스테라,Large,Medium,실내,1,,25.3,45.1,18.7,78.9,82.7,Y
1328,산세베리아,Medium,Low,실내,3,105.0,31.8,74.8,23.6,36.5,39.2,N
1329,고무나무,Medium,High,베란다,4,66.0,40.6,48.0,24.9,42.9,50.9,N
1330,스킨답서스,Small,Low,베란다,2,98.0,24.6,43.5,26.4,28.2,31.1,N
1331,스킨답서스,Small,High,실내,2,19.0,12.8,80.2,21.4,5.0,7.4,N
1332,고무나무,Medium,Low,실내,2,60.0,39.9,59.8,18.1,78.2,80.6,N
1333,스투키,Medium,High,베란다,4,56.0,22.5,48.9,24.0,52.7,59.5,Y
1334,필로덴드론,Medium,High,베란다,3,160.0,12.3,77.2,22.9,16.2,21.0,N
1335,필로덴드론,Small,Low,실내,3,147.0,30.3,70.7,23.7,17.9,22.6,N
1336,고무나무,Medium,Medium,베란다,1,287.0,22.0,47.6,26.1,63.5,67.6,N
1337,몬스테라,Small,Medium,실내,2,120.0,126.1,45.3,21.3,79.2,90.0,N
1338,고무나무,Small,Low,실내,3,45.0,100.4,56.2,18.9,50.5,57.0,N
1339,몬스테라,Medium,High,실내,4,183.0,11.3,53.1,23.7,55.7,61.2,N
1340,몬스테라,Small,Medium,실내,1,82.0,3.4,46.5,22.9,33.0,38.2,N
1341,스투키,Small,Medium,실내,0,26.0,9.2,54.8,21.0,38.8,40.3,N
1342,스킨답서스,Medium,Low,베란다,1,165.0,4.2,76.0,19.0,75.6,79.7,N
1343,,Medium,Medium,베란다,3,17.0,33.8,67.6,23.0,26.1,31.4,N
1344,고무나무,Large,High,베란다,4,24.0,52.0,59.7,24.6,107.9,115.5,Y
1345,고무나무,Medium,Medium,실내,0,171.0,9.3,50.9,17.2,54.8,55.2,N
1346,스킨답서스,Small,High,실내,3,176.0,49.0,53.5,22.1,35.6,46.4,N
1347,스투키,Small,High,실내,7,188.0,6.7,63.2,23.8,57.4,68.8,Y
1348,스투키,Large,Low,실내,1,42.0,47.9,62.2,27.4,73.6,75.2,N
1349,필로덴드론,Medium,Low,실내,1,242.0,10.8,55.8,22.2,21.7,123.4,N
1350,몬스테라,Medium,High,실내,1,154.0,23.8,68.0,26.7,78.7,85.8,N
1351,산세베리아,Small,Medium,실내,2,215.0,40.7,41.0,24.5,33.4,42.3,N
1352,스킨답서스,Medium,Low,베란다,0,148.0,16.8,66.8,24.6,31.3,33.3,N
1353,스킨답서스,Small,Medium,실내,6,104.0,6.2,62.5,19.6,64.8,72.6,N
1354,고무나무,Medium,Medium,베란다,2,14.0,86.9,37.9,29.4,105.3,112.9,N
1355,스킨답서스,Large,High,실내,3,149.0,6.2,47.1,22.2,33.8,39.9,N
1356,산세베리아,Large,Low,베란다,3,141.0,69.9,73.0,22.6,31.7,37.6,N
1357,필로덴드론,Medium,Low,실내,5,45.0,33.3,61.3,22.1,32.9,35.3,N
1358,스킨답서스,Medium,High,실내,3,160.0,52.5,53.6,25.7,49.8,60.2,N
1359,스투키,Large,High,실내,2,96.0,36.1,58.9,27.9,52.3,58.6,N
1360,스킨답서스,Medium,Medium,베란다,2,98.0,6.5,55.1,24.0,44.9,47.3,N
1361,필로덴드론,Small,High,실내,2,55.0,4.4,59.3,20.8,38.5,42.0,N
1362,몬스테라,Medium,Medium,실내,1,15.0,12.8,66.2,27.1,42.6,49.8,N
1363,고무나무,Small,High,베란다,0,29.0,2.1,76.7,18.2,49.8,55.1,N
1364,고무나무,Medium,Medium,실내,1,176.0,24.6,43.3,19.9,56.2,58.5,N
1365,고무나무,Medium,Low,실내,2,38.0,25.7,69.0,17.8,53.0,56.5,N
1366,몬스테라,Medium,High,실내,1,0.0,18.7,50.5,20.9,74.5,79.8,N
1367,고무나무,Medium,Medium,실내,2,698.0,9.2,40.3,25.0,91.5,99.0,Y
1368,필로덴드론,Small,High,실내,1,28.0,28.4,70.7,21.3,29.5,34.1,N
1369,몬스테라,Medium,Medium,실내,1,128.0,10.8,46.7,22.2,111.1,110.0,N
1370,스투키,Large,High,실내,2,314.0,23.0,67.0,23.1,71.4,77.3,Y
1371,필로덴드론,Medium,High,실내,3,110.0,10.4,67.9,21.3,6.5,12.4,N
1372,몬스테라,Small,Low,베란다,3,193.0,16.1,78.3,18.6,50.0,54.0,N
1373,산세베리아,Large,High,실내,0,449.0,116.9,69.8,17.0,56.2,68.1,N
1374,스킨답서스,Large,Medium,실내,5,236.0,43.4,70.6,25.9,15.3,25.8,N
1375,스투키,Small,High,실내,5,98.0,6.8,69.2,20.1,29.9,40.4,N
1376,산세베리아,Small,Medium,실내,2,54.0,71.1,57.7,19.9,37.1,45.6,N
1377,스킨답서스,Medium,High,실내,3,79.0,35.7,71.3,17.5,18.3,28.4,N
1378,스킨답서스,Large,Medium,실내,4,221.0,17.7,51.8,21.6,35.6,39.0,N
1379,스투키,Large,Low,실내,0,230.0,20.2,47.5,23.6,16.1,17.4,N
1380,스킨답서스,Large,Low,베란다,1,224.0,28.4,62.1,20.9,39.7,42.2,N
1381,몬스테라,Medium,Medium,실내,3,109.0,70.3,69.9,23.1,54.0,62.8,N
